generation,populationSize,invalidInds,localBest,localBestInd,localBestFit,fitnessAvg,fitnessStdDev,genomeSizeAvg,effectiveGenomeSizeAvg,top10PercEffectiveGenomeSizeAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,86,tan(-((x)-(x))),"[151,79,241,250,176,255,109,120,66,200,46,245,96,192,223,196,35,60,194,171,79,178,157,141,117,106,238,251,128,183,229,112,11,21,44,240,9,40,10,196,206,181,60,129,112,206,37,21,86,238,110,139,236,242,42,212,77,97,140,227,19,68,65,94,136,123,57,169,129,203,180,25,91,180,219,68,34,248,28,48,131,20,249,55,179,58,202,37,65,168,241,100,55,248,46,214,166,98,188,200,127,12,249,104,53,121,234,236,81,81,12,158,203,5,186,64,123,172,249,167]",91.62827180402466,833.7395711187879,659.8149307079071,120.0,3.973684210526316,6.9,153.00152935332613,2100.167983879569
1,200,24,tan(-((x)-(x))),"[151,79,241,250,176,255,109,120,66,200,46,245,96,192,223,196,35,60,194,171,79,178,157,141,117,106,238,251,128,183,229,112,11,21,44,240,9,40,10,196,206,181,60,129,112,206,37,21,86,238,110,139,100,7,60,226,99,149,64,251,69,190,206,122,4,222,253,121,146,14,139,176,207,241,32,122,67,67,150,251,149,140,136,102,43,54,248,153,245,125,206,67,26,188,72,187,140,234,14,190,66,93,213,125,119,213,40,108,249,14,216,61,96,221,161,48,175,202,213,14]",91.62827180402466,552.256168537771,444.08713726965874,114.85795454545455,5.056818181818182,6.8,91.62827180402468,2.0194839173657902e-28
2,200,17,tan(-((x)-(x))),"[151,79,241,250,176,255,109,120,66,200,46,245,96,192,223,196,35,60,194,171,79,178,157,141,117,106,238,251,128,183,229,119,214,151,38,89,197,90,46,53,36,15,163,94,91,142,0,25,241,32,236,105,176,49,29,76,227,218,82,51,129,124,120,154,158,6,15,27,177,184,104,53,213,160,24,130,23,17,211,225,43,60,8,223,245,39,194,6,79,122,228,59,65,131,167,15,251,218,39,83,247,234,63,106,190,11,154,197,236,217,91,34,112,187,180,231,100,28,209,177]",91.62827180402466,351.73344310139566,543.248229973603,113.8743169398907,6.781420765027322,7.45,91.62827180402468,2.0194839173657902e-28
3,200,20,(-((x)-(x)))*(x),"[23,58,100,107,120,43,63,194,102,63,120,202,65,35,122,158,14,118,189,178,156,234,184,44,222,37,42,149,207,112,3,0,76,182,205,156,242,32,171,71,42,125,113,134,8,206,37,21,86,238,110,139,236,242,42,212,77,97,140,227,19,68,65,94,136,123,57,169,129,203,180,25,91,180,219,68,34,248,28,48,131,20,249,55,179,58,202,37,65,168,241,100,55,248,46,214,166,98,188,200,127,12,249,104,53,121,234,236,81,81,12,158,203,5,186,64,123,172,249,167]",91.62827180402466,210.98202785586554,298.51470894349177,116.24444444444444,7.1722222222222225,7.5,91.62827180402468,2.0194839173657902e-28
4,200,13,tan(-((x)-(x))),"[64,79,241,250,176,255,109,120,66]",90.51827180402466,196.39006231781576,465.6133430713804,113.42245989304813,6.67379679144385,7.25,91.46177180402466,0.15709274999999984
5,200,22,(x)-(x),"[8,150,235,213,220]",90.47827180402466,183.10849759815537,469.84628864840505,103.03370786516854,7.095505617977528,7.2,90.84927180402462,0.26014899999999985
6,200,22,(x)-(x),"[8,150,235,213,220]",90.47827180402466,230.83132446444242,325.4104845144212,86.12921348314607,6.98314606741573,6.8,90.51227180402464,2.0400000000006378e-4
7,200,16,(x)-(x),"[104,228,199,81,93]",90.47827180402466,226.33131178579495,316.34143427268305,56.983695652173914,6.326086956521739,5.6,90.49827180402465,4.000000000001249e-4
8,200,31,(x)-(x),"[104,228,235,213,220]",90.47827180402466,352.6595565018023,702.2267906863428,26.526627218934912,6.06508875739645,4.0,90.47827180402466,0.0
9,200,21,(x)-(x),"[104,150,235,213,220]",90.47827180402466,478.4290844274972,1395.5557760516313,24.87150837988827,5.435754189944134,4.0,90.47827180402466,0.0
10,200,18,(x)-(x),"[104,228,235,213,220]",90.47827180402466,379.18207253406086,1265.3643398177496,19.86813186813187,4.637362637362638,4.0,90.47827180402466,0.0
11,200,16,(x)-(x),"[104,150,199,81,93]",90.47827180402466,208.19437118472118,285.11667966388296,20.842391304347824,4.0978260869565215,4.0,90.47827180402466,0.0
12,200,12,(x)-(x),"[104,150,235,213,220]",90.47827180402466,206.69019226450555,352.28224949668345,20.29255319148936,3.7180851063829787,4.0,90.47827180402466,0.0
13,200,12,(x)-(x),"[8,150,199,144,220]",90.47827180402466,190.15921209432025,345.7898694088615,19.680851063829788,3.9627659574468086,4.0,90.47827180402466,0.0
14,200,19,(x)-(x),"[104,228,199,213,220]",90.47827180402466,203.40096177611662,433.61971412217326,18.34254143646409,3.9005524861878453,4.0,90.47827180402466,0.0
15,200,16,(x)-(x),"[8,150,235,81,95]",90.47827180402466,232.240794834564,585.1538677940806,17.5,3.902173913043478,4.0,90.47827180402466,0.0
16,200,20,(x)-(x),"[104,150,235,213,220]",90.47827180402466,290.77043011266386,1381.7008780497881,15.944444444444445,4.233333333333333,4.0,90.47827180402466,0.0
17,200,17,(x)-(x),"[239,150,199,213,220]",90.47827180402466,222.12954945441862,597.7881719270059,17.56830601092896,3.8469945355191255,4.0,90.47827180402466,0.0
18,200,17,(x)-(x),"[104,228,235,213,228]",90.47827180402466,269.25556826851005,853.5684106785227,19.453551912568305,4.087431693989071,4.0,90.47827180402466,0.0
19,200,16,(x)-(x),"[104,228,235,213,220]",90.47827180402466,248.11379772637824,548.6034177884065,19.983695652173914,3.8097826086956523,4.0,90.47827180402466,0.0
20,200,18,(x)-(x),"[104,150,235,213,220]",90.47827180402466,236.29862562760104,520.3804534951788,18.26923076923077,3.956043956043956,4.0,90.47827180402466,0.0
21,200,23,(x)-(x),"[176,228,235,213,93]",90.47827180402466,179.67743538042177,350.7887767536672,16.694915254237287,3.84180790960452,4.0,90.47827180402466,0.0
22,200,19,(x)-(x),"[104,150,199,81,93]",90.47827180402466,273.425678680029,1334.2266044551761,15.767955801104973,4.038674033149171,4.0,90.47827180402466,0.0
23,200,15,(x)-(x),"[104,228,199,81,220]",90.47827180402466,223.75307698644866,510.0838656401723,18.65945945945946,3.945945945945946,4.0,90.47827180402466,0.0
24,200,14,(x)-(x),"[104,228,235,213,93]",90.47827180402466,176.16255137950276,243.62278833421678,19.204301075268816,3.7903225806451615,4.0,90.47827180402466,0.0
25,200,13,(x)-(x),"[104,228,199,81,93]",90.47827180402466,166.96212707743317,220.99256116266696,17.914438502673796,3.8128342245989306,4.0,90.47827180402466,0.0
26,200,23,(x)-(x),"[104,111,235,144,220]",90.47827180402466,215.81945546976,478.9546582105389,14.096045197740112,3.9717514124293785,4.0,90.47827180402466,0.0
27,200,13,(x)-(x),"[104,150,235,81,93]",90.47827180402466,171.86978186451225,229.31021199350883,19.144385026737968,3.7967914438502675,4.0,90.47827180402466,0.0
28,200,16,(x)-(x),"[8,111,199,84,220]",90.47827180402466,180.52780594500547,398.2672941288562,16.875,4.048913043478261,4.0,90.47827180402466,0.0
29,200,17,(x)-(x),"[104,150,199,81,135]",90.47827180402466,185.95959758361417,342.0933897846427,16.939890710382514,3.8469945355191255,4.0,90.47827180402466,0.0
30,200,13,(x)-(x),"[104,150,199,81,93]",90.47827180402466,231.11360464667243,542.6562743649508,19.144385026737968,3.9572192513368982,4.0,90.47827180402466,0.0
31,200,15,(x)-(x),"[104,228,253,81,93]",90.47827180402466,174.77322254363236,231.69648430963343,19.91891891891892,3.8972972972972975,4.0,90.47827180402466,0.0
32,200,17,(x)-(x),"[104,150,235,81,57]",90.47827180402466,212.21766837844447,536.9501471676821,17.56830601092896,4.131147540983607,4.0,90.47827180402466,0.0
33,200,19,(x)-(x),"[104,150,199,144,93]",90.47827180402466,219.48616240663793,475.33691730753793,20.883977900552487,4.193370165745856,4.0,90.47827180402466,0.0
34,200,16,(x)-(x),"[155,228,199,81,93]",90.47827180402466,173.05943705922093,233.9187741422243,18.75,3.8315217391304346,4.0,90.47827180402466,0.0
35,200,19,(x)-(x),"[104,150,199,81,93]",90.47827180402466,166.69092150693902,249.25273040230482,18.34254143646409,4.005524861878453,4.0,90.47827180402466,0.0
36,200,9,(x)-(x),"[215,150,199,81,36]",90.47827180402466,208.4013090229018,364.3713489749418,20.649214659685864,3.832460732984293,4.0,90.47827180402466,0.0
37,200,19,(x)-(x),"[104,150,235,144,220]",90.47827180402466,153.4922271712873,240.66717392363662,15.80110497237569,4.386740331491713,4.0,90.47827180402466,0.0
38,200,10,(x)-(x),"[104,150,235,144,93]",90.47827180402466,204.96046821270406,421.742073258436,20.736842105263158,4.089473684210526,4.0,90.47827180402466,0.0
39,200,14,(x)-(x),"[215,228,235,81,93]",90.47827180402466,201.2923409081481,467.65230151657477,17.983870967741936,3.978494623655914,4.0,90.47827180402466,0.0
40,200,22,(x)-(x),"[155,150,199,81,60]",90.47827180402466,219.2643863943047,438.50940968500754,18.55056179775281,3.8764044943820224,4.0,90.47827180402466,0.0
41,200,22,(x)-(x),"[104,171,235,213,93]",90.47827180402466,2758.765463110328,33774.828314288716,16.6123595505618,4.348314606741573,4.0,90.47827180402466,0.0
42,200,15,(x)-(x),"[8,150,199,144,220]",90.47827180402466,205.47739833398796,445.85348642797936,19.2972972972973,3.9945945945945946,4.0,90.47827180402466,0.0
