generation,populationSize,invalidInds,localBest,localBestInd,localBestFit,fitnessAvg,fitnessStdDev,genomeSizeAvg,effectiveGenomeSizeAvg,top10PercEffectiveGenomeSizeAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,68,sin((x)-(-(abs(x)))),"[229,47,206,3,139,145,105,217,176,90,152,125,197,141,28,46,93,218,179,148,162,46,110,222,190,177,60,18,130,217,226,73,59,48,197,46,226,5,107,162,15,7,63,12,206,58,216,116,221,150,225,28,153,133,243,109,67,95,211,237,83,121,184,62,136,19,91,40,254,238,131,195,141,37,15,57,108,216,53,9,129,88,217,95,193,20,10,160,9,19,56,20,230,181,168,116,188,36,57,65,77,170,167,86,37,46,78,181,232,14,71,95,206,173,78,106,160,43,74,35]",18.34741702017905,60.5564258390386,44.36965191041573,120.0,4.2272727272727275,6.5,26.58213353774736,12.265415126873354
1,200,24,sin((x)-(-(abs(x)))),"[229,47,206,3,139,145,105,217,176,90,152,125,197,141,28,46,93,218,179,148,162,46,110,222,190,177,60,18,130,217,226,73,59,48,197,46,226,5,107,162,15,7,63,12,206,58,216,116,221,150,225,28,153,133,238,143,152,210,24,32,141,77,197,206,148,117,9,239,161,52,90,213,41,172,38,135,151,57,89,125,57,133,43,238,247,166,155,51,61,240,76,114,142,149,253,10,84,62,27,174,190,238,121,21,165,77,49,37,185,67,117,105,3,168,201,198,122,180,111,232]",18.34741702017905,45.46239172183373,31.54676892094877,116.05681818181819,4.136363636363637,4.7,24.672279096909058,4.462744948899475
2,200,13,sin((x)-(-(abs(x)))),"[229,47,206,3,139,145,105,217,176,90,152,125,197,141,28,46,93,218,179,148,162,46,110,222,190,177,60,18,130,217,226,73,121,249,168,115,25,2,116,21,95,81,20,62,251,40,254,25,163,46,197,189,6,196,244,61,2,170,99,205,112,54,219,108,16,111,196,95,79,108,165,204,250,9,220,131,169,104,200,105,34,179,188,17,94,191,247,0,80,169,148,79,75,114,154,102,63,105,20,163,217,107,242,115,209,185,28,44,36,248,1,66,185,247,79,20,31,74,230,202]",18.34741702017905,32.603894929337855,20.621664531394305,110.22459893048128,4.39572192513369,7.0,23.369408077327268,8.549764882805205
3,200,16,sin((x)-(-(abs(x)))),"[229,47,206,3,139,145,105,217,176,90,152,125,197,141,28,46,93,218,179,148,162,46,110,222,190,177,60,18,130,217,226,73,59,48,197,46,226,5,107,162,15,7,63,12,206,58,216,116,221,150,225,28,153,133,238,143,152,210,24,32,24,104,59,138,106,28,156,196,163,45,116,112,194,105,199,198,206,135,73,255,130,136,217,219,224,57,150,160,5,105,213,47,165,113,204,84,65,166,253,165,142,13,4,166,234,124,161,231,46,126,250,99,150,252,209,158,241,71,92,154]",18.34741702017905,28.491806682706034,14.098695310305878,108.67391304347827,4.695652173913044,7.2,20.714394122759522,8.403870906210427
4,200,16,sin((x)-(-(abs(x)))),"[229,47,206,3,139,145,105,217,176,90,152,125,197,141,28,46,93,218,179,148,162,46,110,222,190,177,60,18,130,217,226,73,59,48,197,46,226,5,107,162,15,7,63,12,206,58,216,116,221,150,225,28,153,133,238,143,152,210,24,32,141,41,53,182,69,240,150,235,252,6,15,84,198,31,171,14,231,133,189,190,4,124,26,18,149,127,194,154,182,155,200,4,69,177,163,204,208,10,228,48,19,8,151,110,172,107,193,218,36,6,54,164,227,204,8,146,123,110,105,255]",18.34741702017905,28.999849908754694,24.37773939050818,94.39673913043478,5.853260869565218,10.1,18.347417020179044,5.048709793414476e-29
5,200,24,sin((x)-(-(abs(x)))),"[229,47,206,3,139,16,105,217,176,90,152]",17.25741702017905,28.64457789269525,24.22057770640391,90.9659090909091,7.323863636363637,10.0,18.23841702017905,0.10692899999999997
6,200,14,sin((x)-(-(abs(x)))),"[229,47,206,3,139,145,105,217,176,90,152]",17.25741702017905,25.275328649043335,22.878553521608488,100.28494623655914,8.634408602150538,10.1,17.52991702017905,0.22276874999999996
7,200,16,sin((x)-(-(abs(x)))),"[229,47,206,3,139,16,105,217,176,90,152]",17.25741702017905,23.194354037816147,23.093782754621284,93.89673913043478,9.581521739130435,10.0,17.25741702017905,0.0
8,200,15,sin((x)-(-(abs(x)))),"[229,47,206,3,139,145,105,217,176,90,152]",17.25741702017905,22.870570608179957,18.962809231386473,60.49189189189189,9.162162162162161,10.0,17.25741702017905,0.0
9,200,13,sin((x)-(-(abs(x)))),"[229,47,206,3,139,145,105,217,176,90,152]",17.25741702017905,21.160544578716074,10.801337422334214,37.81283422459893,9.213903743315509,10.0,17.25741702017905,0.0
