generation,populationSize,invalidInds,localBest,localBestInd,localBestFit,fitnessAvg,fitnessStdDev,genomeSizeAvg,effectiveGenomeSizeAvg,top10PercEffectiveGenomeSizeAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,80,(x)*(tan(x)),"[143,147,80,46,254,201,135,39,40,40,161,178,252,204,200,152,93,220,114,36,96,190,120,20,61,117,193,67,198,184,60,187,132,217,178,255,154,177,84,251,217,117,94,139,86,232,239,229,83,234,103,69,134,105,44,5,165,249,90,157,189,186,219,66,192,212,63,127,45,20,238,154,177,115,180,53,3,113,40,121,178,240,255,79,27,113,252,19,179,191,207,166,151,3,229,43,243,44,153,84,101,197,255,79,249,245,45,138,21,136,48,7,208,29,198,236,231,148,31,157]",395.55555555555554,626.0823333083357,42.84775619874686,120.0,3.933333333333333,8.7,575.660122235442,3214.8081959925357
1,200,21,(x)*(tan(x)),"[143,147,80,46,254,201,135,39,40,40,161,178,252,204,200,152,93,220,114,36,96,190,120,20,61,117,193,67,198,184,60,187,132,217,178,255,154,177,84,251,217,117,94,139,86,232,239,229,83,234,103,69,134,105,44,5,165,249,90,157,189,186,219,66,192,212,63,127,45,20,238,154,177,115,180,53,3,113,40,121,178,240,255,79,27,113,252,19,179,191,207,166,151,3,229,43,243,44,153,84,101,197,255,79,249,245,45,138,21,136,48,7,208,29,198,236,231,148,31,157]",395.55555555555554,606.9879204396947,49.6777605533305,114.94972067039106,4.290502793296089,7.35,504.6424735599124,4428.207517885551
2,200,18,(x)*(tan(x)),"[143,147,80,46,254,201,135,39,40,40,161,178,252,204,200,152,93,220,114,36,96,190,120,20,61,117,193,67,198,184,60,187,132,217,178,255,154,177,84,251,217,117,94,139,86,232,239,229,83,234,103,69,134,105,44,5,165,249,90,113,25,29,160,86,5,66,209,212,34,146,167,14,37,166,251,253,158,136,140,56,187,166,78,58,151,212,96,115,226,141,116,47,37,102,77,233,249,55,237,105,236,178,76,128,155,202,58,179,182,204,120,166,1,130,206,171,84,181,43,208]",395.55555555555554,567.9560988930942,69.52900053995731,109.94505494505495,5.351648351648351,5.25,411.2260913297704,584.6798502270482
3,200,23,(x)*(tan(x)),"[143,147,80,46,254,201,135]",282.55555555555554,506.7350741960767,84.14123047343753,94.94350282485875,6.0790960451977405,6.5,386.10995685027723,707.5635372437124
4,200,27,(x)*(tan(x)),"[143,147,80,46,254,201,132]",282.55555555555554,488.26169787104175,407.556317128604,93.41040462427746,5.6473988439306355,7.3,345.2787078542597,2026.9433499109018
5,200,26,(x)*(tan(x)),"[143,147,80,211,254,201,135]",282.55555555555554,412.28788722754064,100.90283013252605,81.42528735632185,5.902298850574713,6.0,282.5555555555556,3.2311742677852644e-27
6,200,19,(x)*(tan(x)),"[143,147,80,46,254,201,132]",282.55555555555554,395.30421537448746,409.680410386881,49.74585635359116,5.685082872928176,6.0,282.5555555555556,3.2311742677852644e-27
7,200,22,(x)*(tan(x)),"[143,147,80,46,254,201,132]",282.55555555555554,347.41236130330316,411.8846139338636,21.185393258426966,5.853932584269663,6.0,282.5555555555556,3.2311742677852644e-27
8,200,20,(x)*(tan(x)),"[143,147,80,46,254,201,135]",282.55555555555554,315.374014877971,99.07755719574585,17.655555555555555,5.677777777777778,6.0,282.5555555555556,3.2311742677852644e-27
9,200,16,(x)*(tan(x)),"[143,147,80,46,254,201,135]",282.55555555555554,321.6559550264294,109.21023205387662,19.282608695652176,5.619565217391305,6.0,282.5555555555556,3.2311742677852644e-27
10,200,21,(x)*(tan(x)),"[143,147,80,46,254,201,135]",282.55555555555554,319.5978776098138,105.14554831929627,18.363128491620113,5.754189944134078,6.0,282.5555555555556,3.2311742677852644e-27
11,200,14,(x)*(tan(x)),"[143,147,80,211,254,201,223]",282.55555555555554,329.77480471881546,121.32176934280966,20.973118279569892,5.462365591397849,6.0,282.5555555555556,3.2311742677852644e-27
12,200,13,(x)*(tan(x)),"[143,147,80,46,254,201,238]",282.55555555555554,327.28735317679656,113.44009817034708,22.106951871657753,5.4866310160427805,6.0,282.5555555555556,3.2311742677852644e-27
13,200,12,(x)*(tan(x)),"[143,147,80,46,254,96,135]",282.55555555555554,330.0427044142837,115.15087899266807,22.627659574468087,5.50531914893617,6.0,282.5555555555556,3.2311742677852644e-27
14,200,16,(x)*(tan(x)),"[143,147,80,211,254,201,132]",282.55555555555554,325.63381490914514,117.38266058716857,18.668478260869566,5.891304347826087,6.0,282.5555555555556,3.2311742677852644e-27
15,200,17,(x)*(tan(x)),"[143,147,80,46,254,201,135]",282.55555555555554,322.95471811484293,108.84183485850163,19.349726775956285,5.5683060109289615,6.0,282.5555555555556,3.2311742677852644e-27
16,200,17,(x)*(tan(x)),"[143,147,80,46,254,201,223]",282.55555555555554,318.2108197123346,104.8725804385882,18.73224043715847,5.644808743169399,6.0,282.5555555555556,3.2311742677852644e-27
17,200,15,(x)*(tan(x)),"[143,147,80,46,254,201,135]",282.55555555555554,323.26135100950984,115.64013592348371,19.82702702702703,5.745945945945946,6.0,282.5555555555556,3.2311742677852644e-27
18,200,10,(x)*(tan(x)),"[143,147,80,46,254,201,132]",282.55555555555554,325.21290140425754,112.6826322658599,20.678947368421053,5.6947368421052635,6.0,282.5555555555556,3.2311742677852644e-27
