generation,populationSize,invalidInds,localBest,localBestInd,localBestFit,fitnessAvg,fitnessStdDev,genomeSizeAvg,effectiveGenomeSizeAvg,top10PercEffectiveGenomeSizeAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,89,(x)-(x),"[122,234,151,123,58,126,162,157,129,32,12,136,77,96,167,242,136,5,225,18,163,109,189,210,244,50,41,214,154,183,88,12,9,251,187,11,59,191,130,120,23,252,158,254,65,57,135,155,199,36,42,242,149,45,102,144,168,215,225,151,38,187,209,199,240,96,207,11,18,169,128,243,40,212,136,59,253,2,156,68,25,188,91,244,58,78,84,172,238,175,227,46,45,79,252,91,74,145,91,166,122,198,217,191,241,251,228,146,246,178,180,251,88,178,204,165,169,174,119,148]",91.62827180402466,851.6176888327981,518.2957338503052,120.0,3.009009009009009,6.4,247.41363831643298,39329.88824220468
1,200,20,sin((x)-(x)),"[67,237,35,156,133,189,167,206,229,203,201,198,112,223,157,231,224,4,26,172,21,156,187,167,124,56,115,127,123,110,85,235,219,217,223,124,33,221,48,120,14,13,196,165,251,180,9,182,0,84,75,78,15,233,152,142,249,67,198,122,137,136,255,50,236,194,48,242,21,40,77,41,226,9,177,138,225,43,254,96,109,179,186,239,162,61,220,80,91,48,201,50,41,79,1,131,13,203,203,17,58,24,178,14,155,125,162,66,168,59,182,7,65,25,36,108,129,12,160,92]",91.62827180402466,678.9993946834929,439.02922474059494,116.81666666666666,3.566666666666667,5.1,126.04045191306605,1492.718089209278
2,200,12,sin((x)-(x)),"[67,237,35,156,133,189,167,206,229,203,201,198,112,223,157,231,224,4,26,172,21,156,187,167,124,56,115,127,123,110,85,235,219,217,223,124,33,221,48,120,14,13,196,165,251,180,9,182,0,84,75,78,15,233,152,142,249,67,198,122,137,136,255,50,236,194,48,242,21,40,77,41,226,9,177,138,225,43,254,96,109,179,186,239,162,61,220,80,91,48,201,50,41,79,1,131,13,203,203,17,58,24,178,14,155,125,162,66,168,59,182,7,65,25,36,108,129,12,160,92]",91.62827180402466,410.09428113856677,334.7569851540438,114.07978723404256,4.787234042553192,6.9,91.62827180402468,2.0194839173657902e-28
3,200,15,sin((x)-(x)),"[67,237,35,156,133,189,167]",90.49827180402465,271.19802423016347,392.42403903798754,113.94594594594595,5.610810810810811,7.05,91.51577180402467,0.11390875000000145
4,200,22,sin((x)-(x)),"[109,237,35,156,133,189,167]",90.49827180402465,210.72827751103083,374.62077272043155,106.2752808988764,6.567415730337078,7.0,91.35177180402465,0.22982275000000257
5,200,24,sin((x)-(x)),"[67,237,35,156,133,189,167]",90.49827180402465,266.16719222906045,743.2415699615968,97.23295454545455,6.920454545454546,5.1,90.50077180402464,1.8750000000019175e-5
6,200,26,sin((x)-(x)),"[67,237,20,72,133,189,167]",90.49827180402465,192.021810341513,271.13533012552455,66.11494252873563,5.580459770114943,5.1,90.49827180402464,2.0194839173657902e-28
7,200,26,(x)-(x),"[122,234,151,123,146]",90.47827180402466,243.36498566947964,562.758083795978,34.62643678160919,5.614942528735632,5.1,90.49627180402464,3.5999999999985676e-5
8,200,35,(x)-(x),"[122,234,151,123,58]",90.47827180402466,318.1720532757433,715.3879496038563,23.345454545454544,5.1030303030303035,4.8,90.49327180402464,7.499999999997015e-5
9,200,44,(x)-(x),"[122,234,229,156,58]",90.47827180402466,263.42531679388685,548.2468682572896,21.21794871794872,4.846153846153846,4.2,90.48527180402465,9.099999999996374e-5
