generation,populationSize,invalidInds,localBest,localBestFit,fitnessAvg,fitnessStdDev,exprDepthAvg,top10PercExprDepthAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,124,(sin(x))*(cos(x)),22.283374275227192,60.611464648367715,134.2745132750849,2.736842105263158,3.45,26.617432739109937,6.810206423091432
1,200,51,(sin(x))*(cos(x)),22.283374275227192,44.58992858581048,96.25920303185379,3.261744966442953,2.15,24.049211226489952,0.34646918204943794
2,200,26,(sin(x))*(cos(x)),22.283374275227192,30.888579961413143,14.074906151664194,3.189655172413793,2.2,23.852562676349642,0.6155880595543068
3,200,25,(sin(x))*(cos(x)),22.283374275227192,26.729556296550562,6.733012581190745,2.5828571428571427,2.55,23.166042750858562,0.952237779623068
4,200,21,(x)*(cos(x)),22.28337427522719,28.64442252179181,20.621879436718956,2.3072625698324023,3.0,22.28337427522719,1.1990685759359379e-29
5,200,25,(x)*(cos(x)),22.28337427522719,25.800233444717403,14.169020832550972,2.662857142857143,3.0,22.28337427522719,1.0097419586828952e-29
6,200,25,(x)*(cos(x)),22.28337427522719,39.12226232983194,180.0872237131079,3.045714285714286,3.0,22.28337427522718,7.573064690121713e-29
7,200,26,(x)*(cos(x)),22.28337427522719,25.705679877146782,16.42631072181367,3.0919540229885056,3.0,22.28337427522718,5.048709793414476e-29
8,200,21,(x)*(cos(x)),22.28337427522719,25.610089456061257,13.439479976202556,2.9273743016759775,3.0,22.28337427522718,5.048709793414476e-29
9,200,24,(x)*(cos(x)),22.28337427522719,26.82667936120276,20.129903947470307,3.039772727272727,3.0,22.28337427522718,5.048709793414476e-29
10,200,24,(x)*(cos(x)),22.28337427522719,28.496012098914456,29.371070157969076,3.0681818181818183,3.0,22.28337427522718,5.048709793414476e-29
11,200,23,(x)*(cos(x)),22.28337427522719,26.14568509562109,13.551549067835058,2.977401129943503,3.0,22.28337427522718,5.048709793414476e-29
12,200,23,(x)*(cos(x)),22.28337427522719,26.615891752840025,17.36665874044604,3.0395480225988702,3.0,22.28337427522718,5.048709793414476e-29
13,200,31,(x)*(cos(x)),22.28337427522719,26.62401252364493,19.638808989468142,3.0177514792899407,3.0,22.28337427522718,5.048709793414476e-29
14,200,28,(x)*(cos(x)),22.28337427522719,27.213052096707372,19.714609429754393,3.0,3.0,22.28337427522718,5.048709793414476e-29
15,200,24,(x)*(cos(x)),22.28337427522719,25.929369931724235,16.10971066041075,2.9545454545454546,3.0,22.28337427522718,5.048709793414476e-29
16,200,25,(x)*(cos(x)),22.28337427522719,23.92513832400351,6.610479512710291,2.9485714285714284,3.0,22.28337427522718,5.048709793414476e-29
17,200,26,(x)*(cos(x)),22.28337427522719,26.200431799557077,20.368880143363373,2.9310344827586206,3.0,22.28337427522718,5.048709793414476e-29
18,200,23,(x)*(cos(x)),22.28337427522719,24.822383609228073,8.944838731789837,3.016949152542373,3.0,22.28337427522718,5.048709793414476e-29
19,200,28,(x)*(cos(x)),22.28337427522719,26.259508780017022,14.434615316159872,3.0348837209302326,3.0,22.28337427522718,5.048709793414476e-29
20,200,25,(x)*(cos(x)),22.28337427522719,25.3315410474181,13.714583832867637,3.085714285714286,3.0,22.28337427522718,5.048709793414476e-29
21,200,25,(x)*(cos(x)),22.28337427522719,25.21004989756725,14.550073542167368,3.0685714285714285,3.0,22.28337427522718,5.048709793414476e-29
22,200,31,(x)*(cos(x)),22.28337427522719,25.716184781069877,14.304228362592534,2.9585798816568047,3.0,22.28337427522718,5.048709793414476e-29
23,200,28,(x)*(cos(x)),22.28337427522719,24.901064308417983,13.740652015618393,3.0813953488372094,3.0,22.28337427522718,5.048709793414476e-29
24,200,24,(x)*(cos(x)),22.28337427522719,27.92042806352539,23.944247366194805,3.0,3.0,22.28337427522718,5.048709793414476e-29
25,200,24,(x)*(cos(x)),22.28337427522719,26.451160610462487,17.809370207776933,3.1079545454545454,3.0,22.28337427522718,5.048709793414476e-29
26,200,17,(x)*(cos(x)),22.28337427522719,26.847054709111063,18.391757651560223,2.9617486338797816,3.0,22.28337427522718,5.048709793414476e-29
27,200,24,(x)*(cos(x)),22.28337427522719,26.338358296122816,22.200865492458576,2.9431818181818183,3.0,22.28337427522718,5.048709793414476e-29
28,200,24,(x)*(cos(x)),22.28337427522719,25.10168916971517,12.758956557080635,3.0454545454545454,3.0,22.28337427522718,5.048709793414476e-29
29,200,23,(x)*(cos(x)),22.28337427522719,26.229217799821114,15.240829485727623,3.0,3.0,22.28337427522718,5.048709793414476e-29
30,200,20,(x)*(cos(x)),22.28337427522719,25.634819405524766,15.429722571256919,3.0166666666666666,3.0,22.28337427522718,5.048709793414476e-29
31,200,23,(x)*(cos(x)),22.28337427522719,28.180241060513886,28.82899891114,2.9548022598870056,3.0,22.28337427522718,5.048709793414476e-29
32,200,31,(x)*(cos(x)),22.28337427522719,25.11464131719085,10.523809728912955,2.964497041420118,3.0,22.28337427522718,5.048709793414476e-29
33,200,34,(x)*(cos(x)),22.28337427522719,25.027889322192603,13.69475071902101,2.9759036144578315,3.0,22.28337427522718,5.048709793414476e-29
34,200,26,(x)*(cos(x)),22.28337427522719,27.19442015313333,24.29874749603036,3.0919540229885056,3.0,22.28337427522718,5.048709793414476e-29
35,200,27,(x)*(cos(x)),22.28337427522719,25.673291546124478,13.724143555448315,2.930635838150289,3.0,22.28337427522718,5.048709793414476e-29
36,200,26,(x)*(cos(x)),22.28337427522719,24.881592474739083,12.962835166490201,3.0402298850574714,3.0,22.28337427522718,5.048709793414476e-29
37,200,34,(x)*(cos(x)),22.28337427522719,26.76987269847724,26.027845703105132,3.0060240963855422,3.0,22.28337427522718,5.048709793414476e-29
38,200,31,(x)*(cos(x)),22.28337427522719,27.099624368859427,22.529023427863624,2.9822485207100593,3.0,22.28337427522718,5.048709793414476e-29
39,200,24,(x)*(cos(x)),22.28337427522719,24.761255326038587,9.303286793567914,2.971590909090909,3.0,22.28337427522718,5.048709793414476e-29
40,200,27,(x)*(cos(x)),22.28337427522719,26.319602320645476,18.457612253768364,2.9826589595375723,3.0,22.28337427522718,5.048709793414476e-29
41,200,26,(x)*(cos(x)),22.28337427522719,27.039367185163126,21.415040633703132,2.9827586206896552,3.0,22.28337427522718,5.048709793414476e-29
42,200,35,(x)*(cos(x)),22.28337427522719,25.08431033855405,15.118192774293908,3.103030303030303,3.0,22.28337427522718,5.048709793414476e-29
43,200,26,(x)*(cos(x)),22.28337427522719,26.411489091896573,19.812058275033234,3.028735632183908,3.0,22.28337427522718,5.048709793414476e-29
44,200,29,(x)*(cos(x)),22.28337427522719,25.71933092855531,15.395681143831178,3.087719298245614,3.0,22.28337427522718,5.048709793414476e-29
45,200,26,(x)*(cos(x)),22.28337427522719,25.858847701229525,16.91835590974214,3.0402298850574714,3.0,22.28337427522718,5.048709793414476e-29
