generation,populationSize,invalidInds,localBest,localBestFit,fitnessAvg,fitnessStdDev,exprDepthAvg,top10PercExprDepthAvg,top10PercFitnessAvg,top10PercFitnessStdDev
0,200,135,(x)-(x),90.44827180402466,998.7048507573018,956.0803719934182,3.0,4.6,190.94169936325022,4088.8973918875877
1,200,57,(x)-(x),90.44827180402466,676.3112803527138,614.0113215506856,3.076923076923077,3.4,126.42324540996053,1631.8720615507832
2,200,27,(x)-(x),90.44827180402466,379.72168066108696,469.193454209575,3.4104046242774566,2.0,90.44827180402466,0.0
3,200,30,(x)-(x),90.44827180402466,245.048750679025,370.7062217281275,3.164705882352941,2.0,90.44827180402466,0.0
4,200,26,(x)-(x),90.44827180402466,195.52308428445633,376.43761531009915,2.4655172413793105,2.0,90.44827180402466,0.0
5,200,28,(x)-(x),90.44827180402466,171.69476906835996,344.7873692130313,2.191860465116279,2.0,90.44827180402466,0.0
6,200,22,(x)-(x),90.44827180402466,233.57298737155196,518.2018004725716,2.146067415730337,2.0,90.44827180402466,0.0
7,200,23,(x)-(x),90.44827180402466,177.24178777030127,342.8393985671905,2.096045197740113,2.0,90.44827180402466,0.0
8,200,25,(x)-(x),90.44827180402466,215.50064048744065,424.96238873716027,2.125714285714286,2.0,90.44827180402466,0.0
9,200,28,(x)-(x),90.44827180402466,191.53244887076585,480.6993476926939,2.0930232558139537,2.0,90.44827180402466,0.0
10,200,26,(x)-(x),90.44827180402466,166.44465809882976,257.09256571937783,2.1494252873563218,2.0,90.44827180402466,0.0
11,200,32,(x)-(x),90.44827180402466,175.2045250592891,319.28657385066407,2.119047619047619,2.0,90.44827180402466,0.0
12,200,27,(x)-(x),90.44827180402466,178.54786465515917,355.6779839965853,2.0635838150289016,2.0,90.44827180402466,0.0
13,200,20,(x)-(x),90.44827180402466,204.41025584047384,444.0063721688893,2.1055555555555556,2.0,90.44827180402466,0.0
14,200,23,(x)-(x),90.44827180402466,192.2277940756012,394.97785542557597,2.073446327683616,2.0,90.44827180402466,0.0
15,200,25,(x)-(x),90.44827180402466,213.51687530748217,553.427729245351,2.0914285714285716,2.0,90.44827180402466,0.0
16,200,27,(x)-(x),90.44827180402466,161.94941137939824,255.76298994116445,2.0346820809248554,2.0,90.44827180402466,0.0
17,200,22,(x)-(x),90.44827180402466,255.99927761957912,647.0668009673132,2.146067415730337,2.0,90.44827180402466,0.0
18,200,24,(x)-(x),90.44827180402466,252.5025638498125,1074.1677092049174,2.085227272727273,2.0,90.44827180402466,0.0
19,200,23,(x)-(x),90.44827180402466,239.8106892895985,567.7685322568979,2.0903954802259888,2.0,90.44827180402466,0.0
20,200,22,(x)-(x),90.44827180402466,183.222551772423,425.07782825236103,2.095505617977528,2.0,90.44827180402466,0.0
21,200,28,(x)-(x),90.44827180402466,180.38572559423463,442.4078008858724,2.11046511627907,2.0,90.44827180402466,0.0
22,200,24,(x)-(x),90.44827180402466,316.735077174325,1441.4194373970029,2.153409090909091,2.0,90.44827180402466,0.0
23,200,26,(x)-(x),90.44827180402466,163.16143754275762,387.9445211425506,2.0632183908045976,2.0,90.44827180402466,0.0
24,200,24,(x)-(x),90.44827180402466,538.8360539482518,4573.8156958171085,2.1193181818181817,2.0,90.44827180402466,0.0
25,200,18,(x)-(x),90.44827180402466,224.9294418322939,451.5340987430441,2.197802197802198,2.0,90.44827180402466,0.0
26,200,26,(x)-(x),90.44827180402466,179.3005584496968,291.8719710213006,2.0919540229885056,2.0,90.44827180402466,0.0
27,200,26,(x)-(x),90.44827180402466,174.00074689124182,258.94160166370335,2.1436781609195403,2.0,90.44827180402466,0.0
28,200,24,(x)-(x),90.44827180402466,649.475199751767,5959.250592732491,2.090909090909091,2.0,90.44827180402466,0.0
29,200,27,(x)-(x),90.44827180402466,182.6368233570544,430.03410004479036,2.0809248554913293,2.0,90.44827180402466,0.0
30,200,25,(x)-(x),90.44827180402466,175.8922083277982,378.1713388127099,2.12,2.0,90.44827180402466,0.0
31,200,25,(x)-(x),90.44827180402466,228.64203876042365,536.2444842977295,2.1142857142857143,2.0,90.44827180402466,0.0
32,200,25,(x)-(x),90.44827180402466,247.29193491241634,656.7594792618715,2.1142857142857143,2.0,90.44827180402466,0.0
33,200,20,(x)-(x),90.44827180402466,312.34004757303126,973.3075945133556,2.1444444444444444,2.0,90.44827180402466,0.0
34,200,22,(x)-(x),90.44827180402466,177.6401599428624,458.00187882667734,2.0842696629213484,2.0,90.44827180402466,0.0
35,200,16,(x)-(x),90.44827180402466,169.667409870534,244.71340718853205,2.0597826086956523,2.0,90.44827180402466,0.0
